id,name,category,icon,era,eraGroup,material,materialGroup,origin,originGroup,status,dateAdded,dimensions,significance
AV-1001,Maratha Talwar Sword,Weaponry,sword,Maratha Empire (1660–1700 CE),Maratha Empire,Forged Steel & Brass,Steel,"Raigad Fort, Raigad",Raigad,Displayed,2025-11-02,"Blade length 78 cm, weight 0.9 kg","This curved single-edged talwar is representative of the swords carried by Maratha light cavalry during Chhatrapati Shivaji Maharaj's campaigns. The brass disc hilt and slight blade curve allowed for swift mounted slashing strikes, a hallmark of Maratha guerrilla warfare tactics (Ganimi Kava)."
AV-1002,Maratha Bichwa Dagger,Weaponry,sword,Maratha Empire (1670–1720 CE),Maratha Empire,Steel with Ivory-style Hilt,Steel,"Panhala Fort, Kolhapur",Kolhapur,Displayed,2025-09-18,Blade length 22 cm,"The bichwa, or 'scorpion-tail' dagger, was carried concealed by Maratha soldiers and court attendants. Its looped handle protected the knuckles while the double-curved blade made it effective in close combat, a design unique to the Deccan region."
AV-1003,Maratha Chainmail Armour (Zirah Baktar),Weaponry,sword,Maratha Empire (1680–1740 CE),Maratha Empire,Riveted Steel Rings,Steel,"Pratapgad Fort, Satara",Pratapgad,In Storage,2025-06-30,"Length 70 cm, approx. 11,000 rings","Worn beneath a quilted tunic by cavalry officers, this mail shirt offered flexible protection against sword cuts while preserving mobility, essential for the fast hill-and-valley warfare practiced around the Sahyadri forts."
AV-1004,Shivrai Silver Coin,Coins & Currency,coin,Maratha Empire (1674 CE),Maratha Empire,Silver,Silver,"Raigad Fort Mint, Raigad",Raigad,Displayed,2025-10-11,"Diameter 1.4 cm, weight 4.5 g","Minted shortly after Shivaji Maharaj's coronation as Chhatrapati in 1674, the Shivrai coin bore Devanagari script and symbolised the establishment of independent Maratha sovereignty and an indigenous currency system, free of Mughal mint authority."
AV-1005,Peshwa-era Gold Mohur,Coins & Currency,coin,Peshwa Era (1750–1800 CE),Peshwa Era,Gold,Gold,"Shaniwarwada Mint, Pune",Pune,Displayed,2025-08-05,"Diameter 2 cm, weight 11 g","Struck during the administration of the Peshwas from Pune, this gold mohur reflects the economic prosperity and expanding trade networks of the Maratha Confederacy in the 18th century."
AV-1006,Satavahana Copper Coin,Coins & Currency,coin,Ancient Era (1st century BCE),Ancient Era,Copper,Copper,"Excavated near Nashik Caves, Nashik",Nashik,In Storage,2025-04-22,Diameter 1.8 cm,"Issued under the Satavahana dynasty, one of the earliest ruling powers of the Deccan plateau, this coin carries faint ship and Ujjain-symbol motifs that point to Maharashtra's ancient maritime and trade links."
AV-1007,Raigad Fort Scale Model,Fort Models,fort,Maratha Empire,Maratha Empire,"Wood, Clay & Plaster",Wood,"Raigad Fort, Raigad",Raigad,Displayed,2025-12-01,90 cm x 60 cm base,"A 1:500 scale architectural model depicting Raigad's Hirakani Buruj, Takmak Tok cliff, and the Maha Darwaza gateway, used by the museum's education wing to explain Maratha hill-fort defence engineering."
AV-1008,Sindhudurg Fort Model,Fort Models,fort,Maratha Empire (1664 CE),Maratha Empire,Wood & Resin,Wood,"Sindhudurg Fort, Malvan",Sindhudurg,Displayed,2025-07-14,75 cm x 75 cm base,"This model recreates the sea-fort built by Shivaji Maharaj on Kurte Island to safeguard the Konkan coastline and the Maratha navy, highlighting its distinctive curtain walls that follow the natural rock shoreline."
AV-1009,Lohagad Fort Model,Fort Models,fort,Medieval & Maratha Era,Maratha Empire,Wood & Clay,Wood,"Lohagad Fort, Pune",Lohagad,In Storage,2025-05-09,60 cm x 40 cm base,"Lohagad's distinctive Vinchu Kata (scorpion's tail) fortification spur is reproduced in detail in this model, illustrating an unusual defensive design intended to cut off an attacking force's approach."
AV-1010,Basalt Temple Sculpture Fragment,Temple Sculptures,sculpture,Ancient & Medieval Era (8th–10th century CE),Ancient Era,Basalt Stone,Stone,"Near Ellora Caves, Aurangabad",Aurangabad,Displayed,2025-03-17,Height 48 cm,"Carved under Rashtrakuta patronage in the volcanic basalt typical of the Deccan trap, this fragment depicts a dvarapala (gatekeeper deity) and reflects the rock-cut sculptural tradition that produced the nearby Kailasa Temple."
AV-1011,Bronze Vithoba Idol,Temple Sculptures,sculpture,Medieval Era (13th–15th century CE),Medieval Era,Bronze,Bronze,"Pandharpur, Solapur",Pandharpur,Displayed,2025-02-08,Height 32 cm,"A devotional bronze of Vithoba, the presiding deity of the Pandharpur Wari pilgrimage and central figure of the Bhakti movement led by saints such as Tukaram and Dnyaneshwar, cast using the traditional lost-wax method."
AV-1012,Devanagari Stone Inscription,Temple Sculptures,sculpture,Medieval Era (12th century CE),Medieval Era,Black Stone,Stone,"Panhala, Kolhapur",Kolhapur,In Storage,2025-01-26,55 cm x 38 cm slab,"This inscribed slab records a land grant in early Devanagari script under the Shilahara dynasty, offering historians valuable evidence of local administration and land revenue practice in 12th-century Maharashtra."
AV-1013,Shivaji Maharaj's Royal Letter (Patra),Manuscripts,manuscript,Maratha Empire (1676 CE),Maratha Empire,"Handmade Paper, Iron-gall Ink",Paper,"Raigad Fort Archive, Raigad",Raigad,On Loan,2025-10-29,42 cm x 30 cm,"A modi-script administrative letter (patra) bearing the royal seal, instructing a local Deshmukh on revenue collection. Modi script documents like this remain a primary source for reconstructing Maratha administrative history."
AV-1014,Peshwa-era Sanskrit Manuscript,Manuscripts,manuscript,Peshwa Era (18th century CE),Peshwa Era,Paper & Natural Pigment,Paper,"Shaniwarwada Library, Pune",Pune,Displayed,2025-09-02,"Bound volume, 64 folios","A hand-copied Sanskrit treatise on astrology with marginal Marathi annotations, illustrating the bilingual scholarly culture maintained in Peshwa-period Pune households and pathshalas."
AV-1015,Hand-painted Paithani Saree,Costumes & Textiles,costume,Peshwa Era (18th–19th century CE),Peshwa Era,Silk & Zari (Gold Thread),Silk,"Paithan, Aurangabad",Aurangabad,Displayed,2025-11-20,Length 5.5 m,"Woven in Paithan using the traditional tapestry technique, this saree's peacock-motif pallu (Mor Pankh) exemplifies a weaving tradition patronised by the Peshwas that survives among Maharashtra's artisan families today."
AV-1016,Traditional Nauvari Drape Ensemble,Costumes & Textiles,costume,19th Century,British Colonial Era,Handloom Cotton,Cotton,Vidarbha Region,Vidarbha,Displayed,2025-06-12,Length 9 m,"The nine-yard nauvari sari, draped in the kasta style, was favoured for its practicality during fieldwork and is closely associated with the image of working and warrior women of the era."
AV-1017,Kolhapuri Pheta (Turban),Costumes & Textiles,costume,Maratha Empire,Maratha Empire,Handloom Cotton & Silk Trim,Cotton,Kolhapur,Kolhapur,In Storage,2025-05-30,Cloth length 7 m,"The Kolhapuri pheta's distinctive forward tilt was historically worn by Maratha nobility and remains a symbol of regional pride, still tied for ceremonial occasions across western Maharashtra."
AV-1018,Maratha Gilded Wall Hanging,Manuscripts,manuscript,Maratha Empire (18th century CE),Maratha Empire,"Cloth, Gesso & Gold Foil",Cotton,Deccan Maratha Court (acquired collection),Pune,On Loan,2025-08-21,60 cm x 45 cm,"Reflecting the painting workshops patronised by Maratha courts of the Deccan, this gilded panel depicts a court scene and demonstrates the ornamental gesso-and-foil technique used in formal commissions of the period."
